Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RobotBattleLearningBrain,5.717,2771.452,10.392,32468,0.167
RobotBattleLearningBrain,5.746,2789.007,10.972,32524,0.166
RobotBattleLearningBrain,5.221,2806.801,11.659,32520,0.165
RobotBattleLearningBrain,5.196,2823.041,10.225,32454,0.164
RobotBattleLearningBrain,5.224,2839.411,10.343,32524,0.164
RobotBattleLearningBrain,5.303,2855.839,10.321,32508,0.163
RobotBattleLearningBrain,5.447,2873.675,11.408,32408,0.162
RobotBattleLearningBrain,6.368,2891.732,10.838,32522,0.161
RobotBattleLearningBrain,5.972,2909.805,11.209,32522,0.160
RobotBattleLearningBrain,5.586,2927.903,11.555,32396,0.159
RobotBattleLearningBrain,5.587,2947.123,12.670,32582,0.158
RobotBattleLearningBrain,6.289,2966.285,11.861,32466,0.158
RobotBattleLearningBrain,6.518,2987.295,13.464,32518,0.158
RobotBattleLearningBrain,5.576,3005.978,12.101,32418,0.157
RobotBattleLearningBrain,6.034,3025.038,12.104,32540,0.156
RobotBattleLearningBrain,5.476,3041.914,10.583,32490,0.156
RobotBattleLearningBrain,5.657,3062.653,14.020,32472,0.155
RobotBattleLearningBrain,5.143,3080.640,11.927,32524,0.154
RobotBattleLearningBrain,5.874,3098.273,10.882,32488,0.154
RobotBattleLearningBrain,5.478,3115.045,10.497,32392,0.154
RobotBattleLearningBrain,5.596,3132.110,10.636,32580,0.153
RobotBattleLearningBrain,6.582,3151.188,11.585,32462,0.152
RobotBattleLearningBrain,5.517,3169.630,11.894,32526,0.152
RobotBattleLearningBrain,5.419,3187.406,11.446,32490,0.152
RobotBattleLearningBrain,6.116,3206.910,12.463,32392,0.152
RobotBattleLearningBrain,4.963,3223.549,10.799,32616,0.152
RobotBattleLearningBrain,5.000,3239.986,10.618,32392,0.151
RobotBattleLearningBrain,6.869,3258.253,10.567,32520,0.151
RobotBattleLearningBrain,8.446,3279.634,11.981,32490,0.151
RobotBattleLearningBrain,5.406,3296.563,10.679,32432,0.151
RobotBattleLearningBrain,6.635,3315.232,11.180,32616,0.151
RobotBattleLearningBrain,7.388,3335.926,12.391,32394,0.151
RobotBattleLearningBrain,4.689,3352.657,11.143,32488,0.151
RobotBattleLearningBrain,5.443,3378.438,18.729,32528,0.151
RobotBattleLearningBrain,5.072,3395.213,10.888,32426,0.151
RobotBattleLearningBrain,5.013,3411.189,10.169,32614,0.151
RobotBattleLearningBrain,5.015,3426.833,9.858,32394,0.151
RobotBattleLearningBrain,4.998,3442.522,9.923,32562,0.151
RobotBattleLearningBrain,5.015,3459.044,10.692,32452,0.152
RobotBattleLearningBrain,5.888,3476.589,10.743,32522,0.151
RobotBattleLearningBrain,5.042,3496.843,13.953,32424,0.151
RobotBattleLearningBrain,5.009,3512.508,9.890,32520,0.151
RobotBattleLearningBrain,5.034,3528.289,9.973,32492,0.152
RobotBattleLearningBrain,4.934,3543.895,9.903,32520,0.151
RobotBattleLearningBrain,5.895,3561.038,10.481,32392,0.151
RobotBattleLearningBrain,4.988,3576.728,9.917,32526,0.151
RobotBattleLearningBrain,5.008,3592.194,9.697,32578,0.150
RobotBattleLearningBrain,5.215,3608.417,10.234,32464,0.150
RobotBattleLearningBrain,5.799,3625.275,10.238,32450,0.150
RobotBattleLearningBrain,5.411,3641.326,9.892,32448,0.150
RobotBattleLearningBrain,5.954,3660.136,12.013,32542,0.150
RobotBattleLearningBrain,5.197,3678.622,12.308,32448,0.150
RobotBattleLearningBrain,5.075,3694.569,10.108,32522,0.150
RobotBattleLearningBrain,5.120,3710.742,10.274,32486,0.150
RobotBattleLearningBrain,5.158,3726.766,10.100,32522,0.150
RobotBattleLearningBrain,5.056,3743.617,11.023,32428,0.150
RobotBattleLearningBrain,5.067,3759.556,10.105,32484,0.150
RobotBattleLearningBrain,5.248,3775.561,9.978,32528,0.150
RobotBattleLearningBrain,5.138,3791.257,9.796,32516,0.149
RobotBattleLearningBrain,5.100,3807.093,9.959,32394,0.149
