Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RobotBattleLearningBrain,4.525,13268.268,9.253,32622,0.128
RobotBattleLearningBrain,4.488,13282.737,9.257,32428,0.128
RobotBattleLearningBrain,4.552,13299.090,11.077,32488,0.128
RobotBattleLearningBrain,4.457,13313.476,9.213,32488,0.128
RobotBattleLearningBrain,4.441,13328.869,10.142,32428,0.128
RobotBattleLearningBrain,4.462,13343.588,9.323,32522,0.128
RobotBattleLearningBrain,4.502,13357.970,9.180,32488,0.128
RobotBattleLearningBrain,4.458,13372.369,9.228,32520,0.128
RobotBattleLearningBrain,4.452,13386.744,9.221,32524,0.128
RobotBattleLearningBrain,4.460,13401.178,9.275,32450,0.128
RobotBattleLearningBrain,4.492,13415.643,9.261,32562,0.128
RobotBattleLearningBrain,4.460,13430.157,9.338,32396,0.128
RobotBattleLearningBrain,4.514,13444.665,9.287,32558,0.128
RobotBattleLearningBrain,4.484,13459.373,9.546,32482,0.128
RobotBattleLearningBrain,4.459,13473.695,9.166,32390,0.128
RobotBattleLearningBrain,4.466,13487.967,9.125,32524,0.128
RobotBattleLearningBrain,4.515,13502.409,9.217,32538,0.128
RobotBattleLearningBrain,4.591,13517.061,9.356,32470,0.128
RobotBattleLearningBrain,4.485,13531.413,9.158,32522,0.128
RobotBattleLearningBrain,4.626,13545.927,9.176,32438,0.128
RobotBattleLearningBrain,4.533,13560.461,9.315,32474,0.128
RobotBattleLearningBrain,4.536,13574.856,9.170,32522,0.128
RobotBattleLearningBrain,4.537,13589.874,9.742,32492,0.128
RobotBattleLearningBrain,4.450,13604.066,9.058,32490,0.128
RobotBattleLearningBrain,4.501,13620.683,11.410,32428,0.128
RobotBattleLearningBrain,4.438,13634.969,9.169,32520,0.128
RobotBattleLearningBrain,4.439,13649.203,9.112,32518,0.128
RobotBattleLearningBrain,4.445,13664.205,9.816,32486,0.128
RobotBattleLearningBrain,4.411,13678.447,9.135,32490,0.128
RobotBattleLearningBrain,4.403,13692.611,9.080,32430,0.128
RobotBattleLearningBrain,4.405,13706.765,9.067,32616,0.128
RobotBattleLearningBrain,4.543,13721.160,9.152,32396,0.128
RobotBattleLearningBrain,4.424,13735.416,9.135,32526,0.128
RobotBattleLearningBrain,4.433,13749.551,9.021,32524,0.128
RobotBattleLearningBrain,4.464,13763.923,9.195,32392,0.128
RobotBattleLearningBrain,4.496,13778.771,9.628,32524,0.128
RobotBattleLearningBrain,4.494,13793.155,9.197,32490,0.128
RobotBattleLearningBrain,4.552,13807.630,9.220,32522,0.128
RobotBattleLearningBrain,4.549,13822.056,9.172,32450,0.128
RobotBattleLearningBrain,4.492,13836.400,9.155,32462,0.128
RobotBattleLearningBrain,4.486,13850.885,9.277,32618,0.128
RobotBattleLearningBrain,4.500,13865.396,9.295,32394,0.128
RobotBattleLearningBrain,4.459,13879.678,9.129,32558,0.128
RobotBattleLearningBrain,4.501,13893.964,9.088,32486,0.128
RobotBattleLearningBrain,4.457,13908.383,9.261,32448,0.128
RobotBattleLearningBrain,4.589,13923.577,9.909,32466,0.128
RobotBattleLearningBrain,4.402,13937.839,9.162,32484,0.128
RobotBattleLearningBrain,4.728,13952.540,9.250,32524,0.128
RobotBattleLearningBrain,4.421,13966.813,9.154,32522,0.128
RobotBattleLearningBrain,4.504,13981.377,9.338,32396,0.128
RobotBattleLearningBrain,4.514,13995.687,9.106,32524,0.128
RobotBattleLearningBrain,4.484,14010.040,9.162,32484,0.128
RobotBattleLearningBrain,4.557,14024.495,9.215,32562,0.128
RobotBattleLearningBrain,4.513,14038.861,9.152,32454,0.128
RobotBattleLearningBrain,4.488,14053.265,9.211,32522,0.128
RobotBattleLearningBrain,4.587,14068.027,9.449,32520,0.128
RobotBattleLearningBrain,4.479,14083.697,10.418,32488,0.128
RobotBattleLearningBrain,4.427,14097.961,9.138,32458,0.128
RobotBattleLearningBrain,4.400,14112.255,9.182,32448,0.128
RobotBattleLearningBrain,4.425,14126.617,9.222,32430,0.128
RobotBattleLearningBrain,4.472,14140.916,9.129,32554,0.128
RobotBattleLearningBrain,4.756,14156.751,10.377,32460,0.128
RobotBattleLearningBrain,4.551,14171.379,9.359,32556,0.128
RobotBattleLearningBrain,4.531,14185.755,9.136,32452,0.128
RobotBattleLearningBrain,4.552,14200.362,9.320,32454,0.128
RobotBattleLearningBrain,4.496,14214.750,9.181,32506,0.128
RobotBattleLearningBrain,4.493,14229.190,9.239,32584,0.128
RobotBattleLearningBrain,4.446,14243.491,9.158,32392,0.128
RobotBattleLearningBrain,4.573,14257.993,9.217,32466,0.128
RobotBattleLearningBrain,4.478,14272.320,9.150,32496,0.128
RobotBattleLearningBrain,4.411,14288.199,10.761,32608,0.128
RobotBattleLearningBrain,4.461,14302.580,9.214,32432,0.128
RobotBattleLearningBrain,4.386,14316.823,9.156,32546,0.128
RobotBattleLearningBrain,4.466,14331.134,9.149,32466,0.128
RobotBattleLearningBrain,4.426,14345.479,9.222,32492,0.128
RobotBattleLearningBrain,4.397,14359.716,9.146,32426,0.128
RobotBattleLearningBrain,4.410,14373.962,9.145,32520,0.128
RobotBattleLearningBrain,4.434,14388.390,9.279,32526,0.128
RobotBattleLearningBrain,4.602,14404.214,10.499,32486,0.128
RobotBattleLearningBrain,4.480,14418.724,9.301,32394,0.128
RobotBattleLearningBrain,4.527,14433.211,9.243,32526,0.128
RobotBattleLearningBrain,4.559,14447.854,9.353,32586,0.128
RobotBattleLearningBrain,4.522,14462.462,9.200,32466,0.129
RobotBattleLearningBrain,4.508,14476.802,9.137,32452,0.129
RobotBattleLearningBrain,4.512,14491.173,9.167,32524,0.129
RobotBattleLearningBrain,4.515,14505.636,9.235,32524,0.129
RobotBattleLearningBrain,4.508,14519.955,9.121,32396,0.129
RobotBattleLearningBrain,4.659,14534.428,9.132,32526,0.129
RobotBattleLearningBrain,4.444,14550.539,10.938,32492,0.129
RobotBattleLearningBrain,4.451,14565.446,9.733,32526,0.129
RobotBattleLearningBrain,4.428,14579.728,9.171,32524,0.129
RobotBattleLearningBrain,4.400,14593.986,9.162,32432,0.129
RobotBattleLearningBrain,4.450,14608.229,9.112,32530,0.129
RobotBattleLearningBrain,4.503,14622.583,9.138,32482,0.129
RobotBattleLearningBrain,4.474,14636.856,9.109,32396,0.129
RobotBattleLearningBrain,4.505,14651.310,9.245,32578,0.129
RobotBattleLearningBrain,4.540,14665.594,9.063,32472,0.129
RobotBattleLearningBrain,4.477,14679.860,9.095,32490,0.129
RobotBattleLearningBrain,4.471,14694.185,9.155,32522,0.129
RobotBattleLearningBrain,4.490,14708.469,9.112,32490,0.129
RobotBattleLearningBrain,4.461,14723.137,9.503,32512,0.129
RobotBattleLearningBrain,4.636,14737.698,9.241,32446,0.129
RobotBattleLearningBrain,4.647,14752.197,9.161,32526,0.129
RobotBattleLearningBrain,4.431,14766.399,9.084,32484,0.129
RobotBattleLearningBrain,4.431,14780.720,9.187,32406,0.129
RobotBattleLearningBrain,4.443,14795.014,9.158,32522,0.130
RobotBattleLearningBrain,4.499,14809.440,9.220,32492,0.130
RobotBattleLearningBrain,4.493,14823.868,9.223,32490,0.130
RobotBattleLearningBrain,4.504,14838.204,9.133,32562,0.130
RobotBattleLearningBrain,4.508,14852.570,9.159,32494,0.130
RobotBattleLearningBrain,4.486,14867.522,9.749,32522,0.130
RobotBattleLearningBrain,4.484,14881.823,9.129,32456,0.130
RobotBattleLearningBrain,4.477,14896.276,9.282,32500,0.130
RobotBattleLearningBrain,4.659,14910.869,9.223,32488,0.130
RobotBattleLearningBrain,4.512,14925.342,9.264,32396,0.130
RobotBattleLearningBrain,4.472,14939.572,9.084,32524,0.130
RobotBattleLearningBrain,4.524,14953.984,9.197,32530,0.130
RobotBattleLearningBrain,4.489,14968.276,9.126,32524,0.131
RobotBattleLearningBrain,4.510,14982.587,9.110,32486,0.131
RobotBattleLearningBrain,4.496,14996.903,9.132,32490,0.131
RobotBattleLearningBrain,4.438,15011.107,9.077,32430,0.131
RobotBattleLearningBrain,4.500,15026.993,10.682,32520,0.131
RobotBattleLearningBrain,4.510,15041.397,9.197,32476,0.131
RobotBattleLearningBrain,4.531,15055.771,9.146,32508,0.131
RobotBattleLearningBrain,4.426,15069.993,9.117,32526,0.131
RobotBattleLearningBrain,4.435,15084.246,9.121,32522,0.131
RobotBattleLearningBrain,4.459,15098.505,9.110,32398,0.131
RobotBattleLearningBrain,4.540,15113.026,9.267,32526,0.131
RobotBattleLearningBrain,4.792,15127.630,9.137,32484,0.131
RobotBattleLearningBrain,4.505,15141.985,9.170,32528,0.131
RobotBattleLearningBrain,4.476,15156.282,9.134,32428,0.131
RobotBattleLearningBrain,4.456,15170.760,9.329,32488,0.131
RobotBattleLearningBrain,4.503,15185.723,9.771,32522,0.131
RobotBattleLearningBrain,4.482,15200.093,9.185,32450,0.131
RobotBattleLearningBrain,4.608,15214.556,9.158,32524,0.131
RobotBattleLearningBrain,4.511,15229.008,9.247,32564,0.132
RobotBattleLearningBrain,4.461,15243.315,9.154,32396,0.132
RobotBattleLearningBrain,4.580,15257.985,9.387,32560,0.132
RobotBattleLearningBrain,4.394,15272.100,9.041,32482,0.132
RobotBattleLearningBrain,4.428,15286.273,9.056,32452,0.132
RobotBattleLearningBrain,4.751,15300.875,9.165,32464,0.132
RobotBattleLearningBrain,4.564,15315.686,9.533,32490,0.132
RobotBattleLearningBrain,4.473,15330.166,9.300,32526,0.132
RobotBattleLearningBrain,4.563,15344.613,9.221,32526,0.132
RobotBattleLearningBrain,4.442,15359.982,10.235,32418,0.132
RobotBattleLearningBrain,4.510,15374.432,9.246,32550,0.132
RobotBattleLearningBrain,4.422,15389.227,9.626,32506,0.132
RobotBattleLearningBrain,4.462,15403.549,9.178,32470,0.132
RobotBattleLearningBrain,4.417,15417.811,9.134,32528,0.133
RobotBattleLearningBrain,4.464,15432.046,9.092,32490,0.133
RobotBattleLearningBrain,4.508,15446.367,9.126,32430,0.133
RobotBattleLearningBrain,4.608,15460.765,9.109,32524,0.133
RobotBattleLearningBrain,4.472,15475.018,9.103,32492,0.133
RobotBattleLearningBrain,4.529,15489.427,9.175,32524,0.133
RobotBattleLearningBrain,4.541,15503.838,9.174,32422,0.133
RobotBattleLearningBrain,4.565,15518.685,9.591,32598,0.133
RobotBattleLearningBrain,4.527,15533.359,9.439,32418,0.133
RobotBattleLearningBrain,4.463,15547.826,9.300,32546,0.134
RobotBattleLearningBrain,4.450,15562.170,9.202,32456,0.134
RobotBattleLearningBrain,4.468,15576.662,9.236,32528,0.134
RobotBattleLearningBrain,4.486,15591.004,9.170,32524,0.134
RobotBattleLearningBrain,4.487,15605.667,9.489,32432,0.134
RobotBattleLearningBrain,4.441,15620.622,9.820,32514,0.134
RobotBattleLearningBrain,4.431,15634.905,9.145,32468,0.134
RobotBattleLearningBrain,4.443,15649.185,9.157,32528,0.134
RobotBattleLearningBrain,4.438,15663.442,9.128,32522,0.134
RobotBattleLearningBrain,4.468,15678.052,9.456,32394,0.134
RobotBattleLearningBrain,4.471,15692.312,9.112,32526,0.135
RobotBattleLearningBrain,4.566,15706.728,9.146,32522,0.135
RobotBattleLearningBrain,4.524,15721.018,9.088,32500,0.135
RobotBattleLearningBrain,4.455,15735.427,9.261,32430,0.135
RobotBattleLearningBrain,4.483,15749.998,9.412,32570,0.135
RobotBattleLearningBrain,4.496,15764.252,9.076,32484,0.135
RobotBattleLearningBrain,4.517,15778.528,9.069,32488,0.135
RobotBattleLearningBrain,4.543,15792.931,9.186,32390,0.135
RobotBattleLearningBrain,4.486,15807.296,9.196,32520,0.135
RobotBattleLearningBrain,4.679,15821.822,9.158,32520,0.135
RobotBattleLearningBrain,4.489,15838.679,11.672,32488,0.135
RobotBattleLearningBrain,4.418,15852.815,9.040,32526,0.135
RobotBattleLearningBrain,4.466,15867.061,9.099,32398,0.135
RobotBattleLearningBrain,4.549,15881.367,9.080,32604,0.135
RobotBattleLearningBrain,4.511,15895.707,9.143,32446,0.135
RobotBattleLearningBrain,4.500,15909.964,9.079,32550,0.136
RobotBattleLearningBrain,4.481,15924.171,9.046,32472,0.136
RobotBattleLearningBrain,4.515,15938.569,9.185,32392,0.136
RobotBattleLearningBrain,4.472,15952.840,9.113,32530,0.136
RobotBattleLearningBrain,4.632,15967.618,9.442,32488,0.136
RobotBattleLearningBrain,4.528,15982.134,9.287,32572,0.136
RobotBattleLearningBrain,4.485,15996.802,9.465,32484,0.136
RobotBattleLearningBrain,4.467,16011.267,9.314,32474,0.136
RobotBattleLearningBrain,4.501,16025.578,9.173,32450,0.136
RobotBattleLearningBrain,4.532,16039.889,9.103,32494,0.137
RobotBattleLearningBrain,4.444,16054.161,9.143,32524,0.137
RobotBattleLearningBrain,4.507,16068.517,9.152,32490,0.137
RobotBattleLearningBrain,4.710,16083.123,9.200,32430,0.137
RobotBattleLearningBrain,4.414,16097.536,9.304,32526,0.137
RobotBattleLearningBrain,4.422,16111.856,9.199,32520,0.137
RobotBattleLearningBrain,4.498,16126.353,9.283,32522,0.137
RobotBattleLearningBrain,4.429,16140.487,9.028,32454,0.137
RobotBattleLearningBrain,4.486,16156.038,10.374,32426,0.137
RobotBattleLearningBrain,4.503,16170.440,9.199,32612,0.137
RobotBattleLearningBrain,4.474,16184.872,9.246,32430,0.137
RobotBattleLearningBrain,4.615,16199.902,9.716,32522,0.137
RobotBattleLearningBrain,4.490,16214.129,9.054,32484,0.137
RobotBattleLearningBrain,4.459,16228.358,9.088,32394,0.137
RobotBattleLearningBrain,4.460,16242.919,9.412,32530,0.137
RobotBattleLearningBrain,4.436,16257.180,9.138,32514,0.137
RobotBattleLearningBrain,4.447,16271.490,9.165,32528,0.137
RobotBattleLearningBrain,4.469,16285.644,9.010,32454,0.137
RobotBattleLearningBrain,4.456,16299.925,9.134,32526,0.137
RobotBattleLearningBrain,4.482,16314.445,9.348,32428,0.137
RobotBattleLearningBrain,4.485,16328.745,9.131,32522,0.137
RobotBattleLearningBrain,4.481,16343.139,9.208,32520,0.137
RobotBattleLearningBrain,4.537,16357.437,9.073,32420,0.137
RobotBattleLearningBrain,4.471,16371.759,9.156,32468,0.138
RobotBattleLearningBrain,4.521,16386.104,9.139,32618,0.138
RobotBattleLearningBrain,4.476,16400.511,9.229,32390,0.138
RobotBattleLearningBrain,4.462,16414.883,9.208,32566,0.138
RobotBattleLearningBrain,4.504,16429.229,9.138,32452,0.138
RobotBattleLearningBrain,4.443,16443.628,9.250,32526,0.138
RobotBattleLearningBrain,4.483,16457.918,9.119,32522,0.138
RobotBattleLearningBrain,4.519,16472.458,9.337,32396,0.138
RobotBattleLearningBrain,4.522,16487.136,9.439,32526,0.138
RobotBattleLearningBrain,4.503,16501.395,9.076,32518,0.138
RobotBattleLearningBrain,4.544,16515.948,9.295,32486,0.138
RobotBattleLearningBrain,5.804,16531.657,9.222,32428,0.138
RobotBattleLearningBrain,4.839,16554.994,17.458,32516,0.138
RobotBattleLearningBrain,4.447,16569.764,9.618,32486,0.138
RobotBattleLearningBrain,4.420,16583.948,9.072,32486,0.138
RobotBattleLearningBrain,4.429,16598.346,9.257,32428,0.138
RobotBattleLearningBrain,4.446,16612.757,9.254,32524,0.138
RobotBattleLearningBrain,4.474,16627.300,9.350,32524,0.138
RobotBattleLearningBrain,4.438,16641.576,9.148,32526,0.138
RobotBattleLearningBrain,4.418,16655.911,9.198,32426,0.138
RobotBattleLearningBrain,4.502,16670.459,9.314,32548,0.138
RobotBattleLearningBrain,4.520,16685.149,9.152,32430,0.138
RobotBattleLearningBrain,4.476,16699.593,9.266,32488,0.138
RobotBattleLearningBrain,4.486,16713.906,9.145,32550,0.138
RobotBattleLearningBrain,4.461,16728.142,9.096,32494,0.138
RobotBattleLearningBrain,4.527,16742.502,9.145,32392,0.138
RobotBattleLearningBrain,4.495,16756.892,9.197,32540,0.138
RobotBattleLearningBrain,4.422,16772.056,9.998,32464,0.138
RobotBattleLearningBrain,4.427,16786.366,9.189,32522,0.138
RobotBattleLearningBrain,4.501,16802.602,11.033,32486,0.138
RobotBattleLearningBrain,4.462,16816.967,9.199,32428,0.138
RobotBattleLearningBrain,4.488,16831.375,9.220,32620,0.138
RobotBattleLearningBrain,4.472,16845.696,9.155,32394,0.138
RobotBattleLearningBrain,4.648,16860.212,9.176,32560,0.138
RobotBattleLearningBrain,4.468,16874.461,9.084,32482,0.138
RobotBattleLearningBrain,4.449,16888.960,9.338,32394,0.138
RobotBattleLearningBrain,4.439,16903.322,9.215,32526,0.138
RobotBattleLearningBrain,4.446,16917.564,9.095,32514,0.138
RobotBattleLearningBrain,4.450,16931.756,9.066,32512,0.138
RobotBattleLearningBrain,4.521,16946.638,9.664,32504,0.138
RobotBattleLearningBrain,4.634,16961.200,9.225,32394,0.138
RobotBattleLearningBrain,4.551,16975.773,9.297,32616,0.138
RobotBattleLearningBrain,4.581,16990.246,9.195,32394,0.138
RobotBattleLearningBrain,4.627,17004.912,9.320,32560,0.138
RobotBattleLearningBrain,4.607,17019.389,9.166,32416,0.138
RobotBattleLearningBrain,4.480,17033.879,9.295,32562,0.138
RobotBattleLearningBrain,4.482,17048.258,9.197,32430,0.138
RobotBattleLearningBrain,4.525,17062.851,9.361,32524,0.138
RobotBattleLearningBrain,4.443,17077.356,9.332,32518,0.138
RobotBattleLearningBrain,4.476,17091.761,9.217,32416,0.138
RobotBattleLearningBrain,4.519,17106.358,9.344,32466,0.138
RobotBattleLearningBrain,4.489,17121.004,9.433,32584,0.138
RobotBattleLearningBrain,4.489,17135.458,9.245,32466,0.138
RobotBattleLearningBrain,4.493,17149.876,9.219,32500,0.138
RobotBattleLearningBrain,4.808,17165.705,10.186,32476,0.138
RobotBattleLearningBrain,4.517,17180.332,9.395,32528,0.139
RobotBattleLearningBrain,4.489,17194.745,9.222,32428,0.139
RobotBattleLearningBrain,4.965,17209.996,9.567,32486,0.139
RobotBattleLearningBrain,7.113,17230.417,12.431,32526,0.139
RobotBattleLearningBrain,6.477,17251.077,13.128,32492,0.139
RobotBattleLearningBrain,5.062,17270.122,12.875,32430,0.139
RobotBattleLearningBrain,5.212,17287.770,11.522,32618,0.139
RobotBattleLearningBrain,6.175,17306.125,11.258,32394,0.139
RobotBattleLearningBrain,4.851,17323.933,11.962,32570,0.139
RobotBattleLearningBrain,4.570,17338.582,9.365,32472,0.139
RobotBattleLearningBrain,4.515,17353.075,9.262,32504,0.139
RobotBattleLearningBrain,4.449,17367.498,9.259,32414,0.139
RobotBattleLearningBrain,4.510,17381.985,9.262,32520,0.139
RobotBattleLearningBrain,4.433,17396.248,9.141,32524,0.139
RobotBattleLearningBrain,4.503,17410.527,9.087,32486,0.139
RobotBattleLearningBrain,4.530,17425.114,9.344,32392,0.139
RobotBattleLearningBrain,5.004,17440.743,9.872,32502,0.139
RobotBattleLearningBrain,4.594,17457.375,11.249,32510,0.139
RobotBattleLearningBrain,4.442,17472.831,10.251,32558,0.139
RobotBattleLearningBrain,4.470,17487.166,9.163,32488,0.139
RobotBattleLearningBrain,4.485,17501.577,9.218,32392,0.139
RobotBattleLearningBrain,4.455,17515.982,9.239,32526,0.139
RobotBattleLearningBrain,4.537,17530.417,9.195,32488,0.139
RobotBattleLearningBrain,4.569,17544.962,9.265,32586,0.139
RobotBattleLearningBrain,4.596,17559.451,9.191,32464,0.139
RobotBattleLearningBrain,4.507,17573.956,9.285,32398,0.139
RobotBattleLearningBrain,4.727,17588.701,9.306,32524,0.139
RobotBattleLearningBrain,4.604,17603.394,9.380,32486,0.139
RobotBattleLearningBrain,4.589,17617.851,9.204,32562,0.139
RobotBattleLearningBrain,4.559,17632.381,9.267,32486,0.139
RobotBattleLearningBrain,4.577,17646.870,9.222,32452,0.139
RobotBattleLearningBrain,4.448,17661.334,9.321,32464,0.140
RobotBattleLearningBrain,5.236,17676.614,9.314,32520,0.139
RobotBattleLearningBrain,4.412,17690.879,9.162,32520,0.139
RobotBattleLearningBrain,4.476,17705.448,9.320,32420,0.139
RobotBattleLearningBrain,4.533,17719.989,9.292,32464,0.140
RobotBattleLearningBrain,4.516,17734.486,9.267,32522,0.140
RobotBattleLearningBrain,4.504,17749.072,9.368,32522,0.140
RobotBattleLearningBrain,4.508,17763.470,9.192,32522,0.140
RobotBattleLearningBrain,4.545,17777.798,9.092,32456,0.140
RobotBattleLearningBrain,4.702,17792.440,9.230,32428,0.140
RobotBattleLearningBrain,4.454,17806.923,9.325,32544,0.140
RobotBattleLearningBrain,4.532,17821.532,9.374,32468,0.140
RobotBattleLearningBrain,4.499,17836.302,9.362,32524,0.140
RobotBattleLearningBrain,4.524,17850.897,9.357,32520,0.140
RobotBattleLearningBrain,4.491,17865.244,9.179,32392,0.140
RobotBattleLearningBrain,4.455,17879.638,9.234,32586,0.140
RobotBattleLearningBrain,4.484,17894.486,9.639,32462,0.140
RobotBattleLearningBrain,4.531,17908.954,9.233,32520,0.140
RobotBattleLearningBrain,4.530,17923.535,9.346,32448,0.140
RobotBattleLearningBrain,4.453,17937.874,9.187,32488,0.140
RobotBattleLearningBrain,4.500,17952.394,9.303,32468,0.140
RobotBattleLearningBrain,4.498,17966.713,9.129,32486,0.140
RobotBattleLearningBrain,4.563,17981.176,9.211,32562,0.140
RobotBattleLearningBrain,4.501,17995.421,9.058,32510,0.140
RobotBattleLearningBrain,4.513,18009.914,9.262,32498,0.140
RobotBattleLearningBrain,4.582,18024.370,9.167,32392,0.140
RobotBattleLearningBrain,4.535,18038.827,9.214,32540,0.140
RobotBattleLearningBrain,4.537,18053.162,9.115,32526,0.140
RobotBattleLearningBrain,4.431,18067.410,9.149,32496,0.140
RobotBattleLearningBrain,4.505,18081.738,9.144,32480,0.140
RobotBattleLearningBrain,4.479,18096.007,9.109,32430,0.140
RobotBattleLearningBrain,4.451,18110.286,9.148,32524,0.140
RobotBattleLearningBrain,4.553,18124.859,9.306,32524,0.140
RobotBattleLearningBrain,4.426,18139.387,9.408,32418,0.140
RobotBattleLearningBrain,4.541,18153.700,9.092,32562,0.140
RobotBattleLearningBrain,4.508,18168.127,9.209,32418,0.140
RobotBattleLearningBrain,4.418,18182.367,9.132,32504,0.141
RobotBattleLearningBrain,4.479,18198.522,10.989,32560,0.141
RobotBattleLearningBrain,4.484,18212.746,9.056,32500,0.141
RobotBattleLearningBrain,4.930,18228.551,10.118,32402,0.141
RobotBattleLearningBrain,4.454,18243.964,10.248,32598,0.141
RobotBattleLearningBrain,4.460,18258.271,9.160,32430,0.141
RobotBattleLearningBrain,4.439,18272.624,9.209,32490,0.141
RobotBattleLearningBrain,4.418,18286.824,9.087,32532,0.141
RobotBattleLearningBrain,4.449,18301.044,9.090,32480,0.141
RobotBattleLearningBrain,4.483,18315.370,9.157,32406,0.141
RobotBattleLearningBrain,4.518,18329.801,9.218,32518,0.141
RobotBattleLearningBrain,4.599,18344.328,9.229,32558,0.141
RobotBattleLearningBrain,4.524,18358.625,9.088,32454,0.141
RobotBattleLearningBrain,4.451,18374.160,10.390,32548,0.141
RobotBattleLearningBrain,4.443,18388.615,9.327,32444,0.141
RobotBattleLearningBrain,4.511,18402.994,9.173,32486,0.141
RobotBattleLearningBrain,4.495,18417.312,9.139,32486,0.141
RobotBattleLearningBrain,4.603,18431.761,9.161,32490,0.141
RobotBattleLearningBrain,4.521,18446.155,9.181,32526,0.141
RobotBattleLearningBrain,4.577,18460.599,9.173,32526,0.141
RobotBattleLearningBrain,4.516,18474.945,9.138,32466,0.142
RobotBattleLearningBrain,4.561,18489.304,9.112,32488,0.142
RobotBattleLearningBrain,4.450,18503.580,9.120,32488,0.142
RobotBattleLearningBrain,4.513,18517.881,9.126,32402,0.142
RobotBattleLearningBrain,4.509,18532.393,9.295,32514,0.142
RobotBattleLearningBrain,4.571,18546.860,9.205,32524,0.142
RobotBattleLearningBrain,4.552,18561.347,9.225,32454,0.142
RobotBattleLearningBrain,4.517,18575.620,9.078,32566,0.142
RobotBattleLearningBrain,4.547,18590.222,9.344,32394,0.142
RobotBattleLearningBrain,4.499,18604.582,9.170,32614,0.142
RobotBattleLearningBrain,4.549,18619.045,9.221,32396,0.142
RobotBattleLearningBrain,4.838,18633.924,9.323,32524,0.142
RobotBattleLearningBrain,4.562,18648.371,9.185,32524,0.142
RobotBattleLearningBrain,4.493,18662.791,9.221,32398,0.142
RobotBattleLearningBrain,4.541,18677.280,9.247,32616,0.142
RobotBattleLearningBrain,4.526,18691.749,9.255,32490,0.142
RobotBattleLearningBrain,4.492,18706.208,9.267,32434,0.142
RobotBattleLearningBrain,4.454,18721.283,9.932,32522,0.142
RobotBattleLearningBrain,4.664,18737.139,10.414,32396,0.142
RobotBattleLearningBrain,4.458,18751.467,9.171,32528,0.142
RobotBattleLearningBrain,4.444,18765.750,9.144,32490,0.142
RobotBattleLearningBrain,4.495,18780.010,9.087,32526,0.142
RobotBattleLearningBrain,4.451,18794.209,9.071,32522,0.142
RobotBattleLearningBrain,4.564,18808.551,9.096,32400,0.143
RobotBattleLearningBrain,4.567,18822.964,9.159,32618,0.143
RobotBattleLearningBrain,4.576,18837.281,9.068,32430,0.143
RobotBattleLearningBrain,4.525,18851.712,9.203,32486,0.143
RobotBattleLearningBrain,4.531,18866.114,9.174,32454,0.143
RobotBattleLearningBrain,5.983,18883.050,10.175,32472,0.143
RobotBattleLearningBrain,4.517,18898.271,9.992,32524,0.143
RobotBattleLearningBrain,4.440,18912.537,9.138,32578,0.143
RobotBattleLearningBrain,4.427,18926.803,9.149,32472,0.143
RobotBattleLearningBrain,4.520,18941.096,9.088,32456,0.143
RobotBattleLearningBrain,4.536,18955.862,9.340,32464,0.143
RobotBattleLearningBrain,4.545,18970.213,9.127,32578,0.143
RobotBattleLearningBrain,4.541,18984.557,9.126,32432,0.143
RobotBattleLearningBrain,4.576,18998.921,9.112,32484,0.143
RobotBattleLearningBrain,4.495,19013.163,9.065,32522,0.143
RobotBattleLearningBrain,4.518,19027.518,9.156,32392,0.143
RobotBattleLearningBrain,4.558,19041.922,9.163,32618,0.143
RobotBattleLearningBrain,4.481,19056.238,9.153,32428,0.143
RobotBattleLearningBrain,4.509,19070.697,9.248,32492,0.143
RobotBattleLearningBrain,4.489,19084.895,9.032,32536,0.143
RobotBattleLearningBrain,4.480,19099.169,9.106,32440,0.143
RobotBattleLearningBrain,4.720,19113.816,9.234,32494,0.143
RobotBattleLearningBrain,4.428,19128.169,9.224,32470,0.143
RobotBattleLearningBrain,4.498,19142.605,9.236,32560,0.143
RobotBattleLearningBrain,5.077,19157.715,9.326,32510,0.143
RobotBattleLearningBrain,4.456,19172.584,9.684,32398,0.143
RobotBattleLearningBrain,4.475,19187.048,9.291,32596,0.144
RobotBattleLearningBrain,4.519,19201.632,9.374,32396,0.144
RobotBattleLearningBrain,4.554,19216.124,9.229,32560,0.144
RobotBattleLearningBrain,4.499,19230.495,9.168,32452,0.144
RobotBattleLearningBrain,4.530,19244.797,9.093,32430,0.144
RobotBattleLearningBrain,4.500,19259.254,9.253,32526,0.144
RobotBattleLearningBrain,4.463,19273.566,9.163,32524,0.144
RobotBattleLearningBrain,4.521,19287.945,9.166,32492,0.144
RobotBattleLearningBrain,4.570,19302.383,9.161,32526,0.144
RobotBattleLearningBrain,4.502,19316.770,9.182,32484,0.144
RobotBattleLearningBrain,4.500,19331.099,9.147,32526,0.144
RobotBattleLearningBrain,4.464,19345.425,9.167,32426,0.144
RobotBattleLearningBrain,4.515,19360.729,10.093,32522,0.144
RobotBattleLearningBrain,4.461,19374.970,9.082,32488,0.144
RobotBattleLearningBrain,4.456,19389.234,9.121,32516,0.144
RobotBattleLearningBrain,4.427,19403.576,9.236,32464,0.144
RobotBattleLearningBrain,4.573,19418.049,9.216,32488,0.144
